Category,Genres,Director,Popularity,Winner
3,23,609,54.0,False
8,74,68,7.8,False
8,83,218,10.0,True
4,3,762,57.2,True
1,203,686,19.5,False
3,88,282,41.3,False
0,149,386,23.1,True
3,212,184,32.5,True
0,76,561,7.8,False
3,48,659,11.1,False
1,149,394,17.7,False
3,51,286,7.9,False
4,102,231,9.5,False
7,73,695,71.5,False
4,162,198,10.6,False
5,102,448,11.5,False
4,225,378,18.1,True
3,223,533,44.5,False
3,149,273,2.6,False
3,83,153,31.1,True
7,73,344,16.7,False
6,102,507,32.0,False
2,149,472,43.9,False
5,136,231,4.9,False
6,142,694,18.6,False
0,92,742,9.3,False
8,193,610,11.1,False
5,212,535,10.6,False
4,203,319,17.1,False
7,106,101,25.3,False
5,223,452,13.6,False
4,134,203,176.2,False
3,178,538,6.1,False
3,49,106,2.3,False
8,149,644,5.8,False
4,194,536,29.2,False
5,223,533,44.5,False
4,149,508,18.3,False
4,48,684,26.3,False
7,140,91,62.3,True
6,203,361,21.7,False
4,197,165,77.0,False
7,80,597,11.0,True
5,212,440,4.4,False
2,204,474,6.5,False
2,76,692,42.4,True
3,212,762,9.8,True
1,70,464,9.6,False
6,242,629,3.9,False
6,77,321,110.0,False
8,102,54,15.9,False
3,128,72,14.9,False
8,231,21,45.7,False
7,28,226,59.8,False
2,198,724,23.6,False
7,102,18,14.4,False
6,35,750,46.9,False
0,136,231,4.9,True
1,90,698,3.1,False
4,203,47,16.6,False
3,125,482,1.4,False
0,125,690,12.0,False
7,248,367,6.5,False
0,33,20,1.3,False
3,203,282,6.5,False
3,102,72,24.8,False
4,203,213,15.8,False
1,149,695,30.9,False
6,134,364,7.3,False
1,134,388,18.6,True
0,203,305,5.6,False
8,203,282,6.5,False
5,149,56,5.2,False
3,223,66,7.7,False
8,29,241,13.4,True
4,95,206,13.3,False
1,213,182,5.1,False
0,76,695,20.9,True
1,125,493,14.3,False
0,188,67,11.0,False
1,203,282,6.5,False
4,212,218,10.6,True
2,203,319,17.9,True
4,95,569,63.9,False
6,121,740,14.4,True
5,218,303,23.3,False
1,203,153,12.7,False
7,218,378,11.0,False
6,139,628,18.9,True
8,234,627,38.4,False
5,95,506,13.6,False
1,149,662,10.7,False
0,191,742,8.3,False
4,149,435,6.1,False
7,149,509,8.7,False
2,149,695,20.5,False
5,203,621,4.0,False
7,149,467,8.1,False
5,90,473,24.9,False
4,149,431,21.0,False
3,74,402,12.0,False
4,218,762,9.8,False
5,149,56,29.2,True
2,46,63,12.6,False
4,102,159,38.4,False
6,76,83,14.8,False
4,106,72,13.4,False
3,188,240,7.2,False
0,106,444,8.0,False
3,3,242,11.8,False
4,142,686,14.3,False
8,131,289,10.8,False
6,90,370,8.9,False
6,102,448,11.5,False
7,38,261,109.2,False
4,149,51,8.7,False
1,149,234,1.2,False
7,152,248,3.3,False
7,203,718,33.4,False
6,193,77,12.8,False
0,223,182,12.9,False
1,99,136,95.6,True
6,46,36,44.5,False
2,149,111,18.8,False
4,149,713,21.3,False
6,177,410,26.2,False
3,196,423,24.0,False
4,140,72,17.5,False
1,188,229,10.8,False
5,223,490,29.0,False
2,149,675,19.2,False
3,250,41,4.0,False
8,76,286,11.4,False
0,142,683,9.8,False
8,113,764,10.5,True
7,95,385,22.1,True
3,203,719,8.9,False
4,134,159,25.9,False
3,97,203,8.8,False
5,83,479,85.7,False
7,142,155,21.9,False
4,76,722,32.7,True
7,76,622,12.4,False
0,79,53,12.7,True
6,176,224,13.9,False
3,203,708,17.7,True
6,203,640,13.4,False
3,153,19,17.9,False
1,76,732,8.4,False
2,90,613,15.5,False
3,51,42,24.3,False
4,203,316,165.4,True
8,178,697,2.6,False
1,203,462,15.3,True
6,106,701,40.3,False
8,134,718,11.2,False
6,76,561,7.8,False
4,149,111,18.8,True
8,102,435,6.2,False
1,225,752,9.8,False
4,149,700,14.3,False
4,132,684,33.7,False
3,50,153,12.5,True
3,223,440,19.3,False
6,194,27,8.8,False
3,102,621,5.5,False
0,223,348,25.8,True
3,167,263,62.8,True
2,149,580,46.9,False
1,46,63,12.6,False
3,102,474,5.5,False
5,218,687,14.7,False
2,90,350,19.5,False
0,45,456,7.4,False
1,149,336,8.3,False
3,100,528,1.0,False
6,45,732,11.9,False
8,152,364,15.5,False
0,134,718,11.2,False
2,81,64,33.7,False
7,217,368,51.3,False
3,203,27,8.7,False
6,140,189,24.3,False
1,218,90,7.9,False
5,102,507,32.0,False
4,79,276,9.2,False
4,16,707,6.5,False
3,30,440,2.3,False
1,102,320,10.7,False
6,102,276,1.7,False
8,203,261,42.4,False
4,198,460,56.7,False
0,142,386,19.0,True
3,83,533,16.8,False
6,161,708,24.8,False
6,44,440,6.3,False
8,136,182,15.3,False
3,79,276,9.2,True
4,149,488,18.5,False
1,149,767,1.6,False
7,96,240,19.6,True
3,210,139,7.4,False
3,21,116,59.5,False
6,149,415,33.5,False
7,229,157,6.3,False
7,118,74,6.9,False
0,76,27,21.0,False
8,36,94,30.7,False
3,102,298,1.2,False
0,218,344,7.0,False
6,203,282,6.5,False
6,79,641,47.7,True
7,80,484,15.6,False
0,134,475,58.7,False
7,125,135,3.0,False
8,102,206,11.9,False
8,140,9,26.7,False
1,142,13,13.2,False
6,76,276,3.1,False
6,203,319,17.1,False
0,95,76,2.0,False
3,169,21,18.5,False
4,78,745,13.0,False
7,102,72,10.2,True
6,102,502,20.4,True
1,220,315,13.2,False
1,99,686,11.6,False
1,12,49,23.9,False
8,149,561,3.8,False
5,74,757,4.2,False
7,140,538,21.0,False
3,102,72,10.4,False
4,51,218,5.2,False
6,76,757,4.7,False
6,203,683,7.1,False
1,203,180,5.3,False
3,161,270,7.6,False
1,144,675,8.7,False
3,238,21,20.5,True
2,127,769,8.2,False
7,149,467,2.0,False
3,51,276,3.4,False
