IMDb_Rating,Popularity,Vote_Count,Vote_Average,Winner,Category_Best Actor,Category_Best Actress,Category_Best Adapted Screenplay,Category_Best Cinematography,Category_Best Director,Category_Best Original Screenplay,Category_Best Picture,Category_Best Supporting Actor,Category_Best Supporting Actress
8.5,30.857,11679,8.34,0,True,False,False,False,False,False,False,False,False
7.2,25.863,7290,6.852,0,True,False,False,False,False,False,False,False,False
7.2,25.863,7290,6.852,0,False,False,False,False,False,False,False,True,False
7.2,25.863,7290,6.852,0,False,True,False,False,False,False,False,False,False
7.2,25.863,7290,6.852,0,False,False,False,False,False,False,False,False,True
7.2,25.863,7290,6.852,0,False,False,False,False,True,False,False,False,False
7.2,25.863,7290,6.852,0,False,False,False,False,False,False,True,False,False
7.2,25.863,7290,6.852,0,False,False,False,False,False,True,False,False,False
7.3,60.585,12924,7.424,0,True,False,False,False,False,False,False,False,False
7.3,60.585,12924,7.424,0,False,False,False,False,False,False,True,False,False
7.3,60.585,12924,7.424,0,False,False,True,False,False,False,False,False,False
7.4,6.08,479,7.2,0,False,False,True,False,False,False,False,False,False
7.3,2.952,1297,7.0,0,False,False,False,False,False,False,False,True,False
7.3,2.952,1297,7.0,0,False,False,False,True,False,False,False,False,False
7.9,15.565,1630,7.8,0,False,True,False,False,False,False,False,False,False
7.9,15.565,1630,7.8,0,False,False,False,False,True,False,False,False,False
7.9,15.565,1630,7.8,0,False,False,False,False,False,False,True,False,False
7.9,15.565,1630,7.8,0,False,False,False,False,False,True,False,False,False
7.4,13.669,464,7.4,0,False,False,False,True,False,False,False,False,False
7.1,12.24,582,7.0,1,False,False,False,True,False,False,False,False,False
7.1,12.24,582,7.0,0,False,False,False,False,True,False,False,False,False
7.1,12.24,582,7.0,1,False,False,False,False,False,False,True,False,False
7.2,13.005,1308,6.9,0,False,True,False,False,False,False,False,False,False
7.2,13.005,1308,6.9,0,False,False,False,False,False,False,True,False,False
7.2,13.005,1308,6.9,0,False,False,True,False,False,False,False,False,False
7.1,27.901,1110,7.0,1,False,False,False,False,False,False,False,True,False
7.1,27.901,1110,7.0,0,False,True,False,False,False,False,False,False,False
7.1,27.901,1110,7.0,0,False,False,False,False,False,True,False,False,False
7.5,4.636,68,6.7,0,False,True,False,False,False,False,False,False,False
7.2,4.636,68,6.7,0,False,False,False,False,False,False,True,False,False
7.2,4.636,68,6.7,0,False,False,False,False,False,True,False,False,False
7.2,8.769,174,6.8,1,False,True,False,False,False,False,False,False,False
7.7,52.118,2611,7.548,0,False,True,False,False,False,False,False,False,False
7.7,52.118,2611,7.548,0,False,False,False,False,True,False,False,False,False
7.7,52.118,2611,7.548,0,False,False,False,False,False,False,True,False,False
7.7,52.118,2611,7.548,1,False,False,False,False,False,True,False,False,False
7.0,20.979,1008,7.8,0,True,False,False,False,False,False,False,False,False
8.0,20.979,1008,7.8,0,False,False,False,False,False,False,False,True,False
8.0,20.979,1008,7.8,0,False,False,False,False,False,False,False,True,False
8.0,20.979,1008,7.8,0,False,False,False,True,False,False,False,False,False
8.0,20.979,1008,7.8,0,False,False,False,False,False,False,True,False,False
7.0,9.245,157,6.8,0,True,False,False,False,False,False,False,False,False
7.0,9.245,157,6.8,0,False,False,False,True,False,False,False,False,False
7.0,9.245,157,6.8,0,False,False,False,False,False,False,True,False,False
8.0,1.972,18,5.7,0,False,False,False,False,False,True,False,False,False
6.5,2.504,28,5.911,0,False,False,False,False,False,True,False,False,False
7.9,10.193,319,7.536,0,True,False,False,False,False,False,False,False,False
7.9,10.193,319,7.536,0,False,False,False,False,True,False,False,False,False
7.2,14.255,826,6.807,0,False,False,False,False,False,False,False,False,True
6.4,1.581,12,5.6,0,False,True,False,False,False,False,False,False,False
7.0,5.189,36,6.1,0,False,False,False,False,False,False,False,False,True
7.0,5.189,36,6.1,1,False,False,False,True,False,False,False,False,False
6.6,5.087,49,6.2,0,False,True,False,False,False,False,False,False,False
6.6,5.087,49,6.2,0,False,False,False,True,False,False,False,False,False
6.6,5.087,49,6.2,0,False,False,False,False,True,False,False,False,False
6.6,23.883,2287,6.7,0,False,False,False,True,False,False,False,False,False
7.2,12.635,117,7.1,0,True,False,False,False,False,False,False,False,False
