Winner,Category,Genres,Director,Popularity
False,Best Cinematography,Drama,Barry Levinson,5.2
False,Best Original Screenplay,Drama,Barry Levinson,5.2
True,Best Cinematography,"Action, Adventure, Fantasy",James Cameron,135.3
False,Best Director,"Action, Adventure, Fantasy",James Cameron,135.3
False,Best Picture,"Action, Adventure, Fantasy",James Cameron,135.3
False,Best Picture,"Action, Adventure, Fantasy",James Cameron,170.1
False,Best Actor,"Biography, Drama",Penny Marshall,35.7
False,Best Picture,"Biography, Drama",Penny Marshall,35.7
False,Best Adapted Screenplay,"Biography, Drama",Penny Marshall,35.7
False,Best Actress,Drama,Sarah Polley,10.7
False,Best Adapted Screenplay,Drama,Sarah Polley,10.7
False,Best Supporting Actor,"Comedy, Drama, Family",Chris Noonan,30.4
False,Best Director,"Comedy, Drama, Family",Chris Noonan,30.4
False,Best Picture,"Comedy, Drama, Family",Chris Noonan,30.4
False,Best Adapted Screenplay,"Comedy, Drama, Family",Chris Noonan,30.4
False,Best Supporting Actress,Drama,Alejandro G. Iñárritu,19.2
False,Best Supporting Actress,Drama,Alejandro G. Iñárritu,19.2
False,Best Director,Drama,Alejandro G. Iñárritu,19.2
False,Best Picture,Drama,Alejandro G. Iñárritu,19.2
False,Best Original Screenplay,Drama,Alejandro G. Iñárritu,19.2
False,Best Actor,"Comedy, Musical",Busby Berkeley,3.2
False,Best Actress,"Drama, Romance, Thriller",Elia Kazan,8.7
