IMDb_Rating,Popularity,Vote_Count,Vote_Average,Category_Best Actor,Category_Best Actress,Category_Best Adapted Screenplay,Category_Best Cinematography,Category_Best Director,Category_Best Original Screenplay,Category_Best Picture,Category_Best Supporting Actor,Category_Best Supporting Actress,Winner
7.5,10.742,223,6.996,False,False,True,False,False,False,False,False,False,0
7.5,21.733,3090,7.312,False,False,False,False,False,False,True,False,False,0
7.5,14.357,1678,7.1,False,False,False,False,False,False,False,True,False,0
8.3,29.191,5571,7.999,False,False,False,True,False,False,False,False,False,0
8.2,7.657,209,7.797,True,False,False,False,False,False,False,False,False,0
8.0,10.973,619,7.7,True,False,False,False,False,False,False,False,False,0
7.8,12.194,365,7.518,False,False,False,False,False,False,True,False,False,0
7.8,14.328,312,7.264,False,False,False,False,False,False,False,True,False,1
7.7,23.945,2820,7.448,False,False,False,False,False,False,True,False,False,0
6.5,3.491,23,5.9,False,False,False,True,False,False,False,False,False,0
8.1,33.6,9707,7.961,False,False,True,False,False,False,False,False,False,0
9.2,176.205,20958,8.689,False,False,False,False,True,False,False,False,False,0
7.3,18.319,291,6.8,False,True,False,False,False,False,False,False,False,0
6.4,3.073,23,5.5,True,False,False,False,False,False,False,False,False,0
7.6,4.935,83,7.0,True,False,False,False,False,False,False,False,False,0
8.1,27.261,10162,8.069,False,False,False,False,False,False,False,True,False,1
6.7,11.545,201,6.6,False,False,False,True,False,False,False,False,False,0
8.3,22.928,2353,8.194,False,False,False,False,True,False,False,False,False,1
7.1,3.84,23,6.3,False,True,False,False,False,False,False,False,False,0
7.2,13.559,3355,7.023,False,False,False,False,True,False,False,False,False,0
6.9,24.66,1515,6.84,False,False,True,False,False,False,False,False,False,0
7.5,3.998,43,7.6,True,False,False,False,False,False,False,False,False,0
9.3,177.889,27639,8.708,False,False,False,False,False,False,True,False,False,0
7.1,7.864,125,6.6,False,False,False,True,False,False,False,False,False,0
7.2,2.464,41,7.061,False,False,False,False,False,False,False,False,True,0
7.8,7.799,183,7.1,False,False,False,False,False,False,False,True,False,0
6.0,14.608,489,5.833,False,False,False,True,False,False,False,False,False,0
8.2,29.814,3858,7.911,True,False,False,False,False,False,False,False,False,0
7.8,18.066,1423,7.5,False,False,False,False,False,False,False,False,True,0
7.1,13.112,471,6.902,False,False,False,True,False,False,False,False,False,0
7.0,10.849,185,6.6,False,False,False,False,False,False,False,False,True,0
7.8,8.304,255,7.3,True,False,False,False,False,False,False,False,False,0
7.0,14.315,251,7.2,False,False,False,True,False,False,False,False,False,0
8.7,40.769,10569,8.414,False,True,False,False,False,False,False,False,False,1
7.9,18.206,1366,7.6,False,False,False,False,False,False,False,False,True,1
7.0,23.863,1366,6.85,False,False,True,False,False,False,False,False,False,0
7.4,9.18,219,7.0,False,False,False,False,True,False,False,False,False,0
7.4,21.558,2201,7.2,False,False,False,False,False,False,False,False,True,1
6.6,18.674,1909,6.4,False,False,False,False,False,True,False,False,False,0
7.2,12.99,749,6.83,True,False,False,False,False,False,False,False,False,0
7.7,6.346,88,6.915,False,False,False,False,True,False,False,False,False,0
6.9,4.25,43,6.535,False,False,False,False,False,False,True,False,False,0
8.0,61.749,14584,7.7,False,False,False,False,True,False,False,False,False,0
7.0,5.273,54,6.574,False,True,False,False,False,False,False,False,False,0
6.3,3.336,21,6.0,True,False,False,False,False,False,False,False,False,0
7.7,52.118,2611,7.548,False,False,False,False,False,False,True,False,False,0
7.3,18.319,291,6.8,False,False,False,True,False,False,False,False,False,0
7.0,9.304,130,6.7,False,False,False,False,False,True,False,False,False,1
6.8,3.624,37,6.4,False,False,False,True,False,False,False,False,False,0
6.7,7.796,121,6.7,False,True,False,False,False,False,False,False,False,0
6.9,1.432,13,6.5,False,False,False,True,False,False,False,False,False,0
7.6,6.887,156,7.2,True,False,False,False,False,False,False,False,False,0
7.6,9.838,272,7.2,False,False,False,False,False,False,True,False,False,0
7.1,21.326,2970,7.1,False,False,False,False,False,False,False,True,False,0
7.9,34.042,6978,7.732,False,False,False,False,False,True,False,False,False,0
6.4,8.978,193,6.2,False,False,False,True,False,False,False,False,False,1
6.6,13.442,395,6.418,False,False,False,False,False,False,True,False,False,0
7.9,44.533,13126,7.402,False,False,True,False,False,False,False,False,False,0
7.3,15.296,138,6.6,False,False,False,False,False,False,True,False,False,0
7.2,8.18,400,6.8,False,False,False,False,True,False,False,False,False,0
5.6,4.39,13,5.2,False,False,False,True,False,False,False,False,False,0
6.8,15.078,1615,6.681,False,False,False,False,False,False,True,False,False,0
7.2,12.625,1060,6.8,False,False,True,False,False,False,False,False,False,0
7.3,37.113,12193,7.244,False,False,False,False,False,False,True,False,False,1
7.8,38.926,5990,7.5,True,False,False,False,False,False,False,False,False,1
8.1,22.899,1591,7.9,False,False,False,True,False,False,False,False,False,1
7.4,14.768,762,7.1,False,True,False,False,False,False,False,False,False,0
8.0,12.664,630,7.7,False,True,False,False,False,False,False,False,False,0
7.2,7.219,81,6.9,False,False,False,True,False,False,False,False,False,0
7.4,26.783,3784,7.2,False,False,False,False,False,False,False,True,False,0
7.6,10.897,467,7.2,False,True,False,False,False,False,False,False,False,1
7.7,6.055,67,6.8,False,False,False,False,False,False,False,False,True,0
8.3,93.3,20384,7.959,False,False,False,False,False,True,False,False,False,0
7.4,14.768,762,7.1,False,False,False,False,False,False,False,True,False,1
7.4,10.487,472,7.049,False,True,False,False,False,False,False,False,False,0
7.0,4.334,70,6.9,False,False,False,False,False,True,False,False,False,0
