IMDb_Rating,Popularity,Vote_Average,Category,Winner
7.7,9.2,7.3,4,0
7.6,5.6,7.7,5,0
8.2,62.8,7.8,0,1
7.2,15.1,7.0,7,0
7.0,23.9,6.8,6,0
6.4,2.0,5.3,0,0
7.9,11.4,7.9,3,0
7.0,11.0,6.4,5,1
7.0,9.2,6.8,0,0
7.0,6.8,6.5,4,1
7.1,6.6,6.8,8,0
7.6,13.6,7.6,1,0
8.2,56.7,8.0,5,0
6.8,4.7,6.7,8,1
7.7,20.5,7.8,7,0
8.1,71.5,8.0,5,0
7.2,12.6,6.8,2,0
8.0,12.2,7.5,3,0
7.6,10.9,7.2,6,0
7.1,43.1,7.2,6,1
7.1,24.8,7.1,0,0
8.0,27.5,7.6,6,0
7.0,7.9,6.5,2,0
7.1,9.3,6.7,6,0
7.5,9.9,7.2,3,1
7.5,24.7,7.0,5,0
7.1,23.6,7.0,3,0
8.1,22.9,7.9,1,1
7.2,5.3,7.1,8,0
5.8,9.8,5.6,4,0
6.8,16.0,6.6,6,0
6.4,3.1,5.5,0,1
7.3,10.6,6.8,6,0
7.9,44.5,7.4,2,0
5.6,16.1,5.6,0,0
6.9,30.4,6.2,1,0
7.6,9.8,7.0,6,1
6.9,9.5,6.6,5,0
8.0,18.5,7.6,4,1
7.2,8.1,6.3,4,0
6.6,4.0,6.2,8,0
4.6,5.2,4.5,0,0
7.7,38.4,7.1,4,0
6.7,14.4,6.2,2,1
7.2,26.7,7.5,7,0
7.9,77.0,7.6,1,0
8.1,44.5,7.7,1,1
7.5,23.9,7.3,0,0
7.8,4.5,5.6,8,0
5.9,8.1,5.9,0,0
7.5,19.5,7.2,2,0
7.0,7.1,6.7,8,0
6.2,1.1,5.5,1,0
7.7,6.6,7.1,6,0
7.2,31.9,7.2,0,0
6.9,4.0,6.4,8,0
8.0,27.5,7.6,0,0
8.4,77.9,8.2,2,0
8.0,15.6,7.7,2,0
7.6,9.2,7.0,6,0
7.0,23.7,7.0,0,1
7.2,14.6,6.8,2,0
8.1,51.3,7.8,1,1
7.3,10.2,6.8,1,0
6.7,6.1,6.5,1,0
7.1,12.4,6.7,8,0
7.5,25.2,7.3,3,0
7.3,7.2,7.2,0,0
7.2,13.0,6.9,2,0
7.5,14.8,7.0,5,0
7.8,12.8,7.4,5,1
7.7,23.9,7.4,4,0
7.4,14.3,7.1,8,0
7.7,34.3,7.4,3,0
7.3,10.3,7.0,6,0
7.4,15.1,7.1,3,0
7.4,24.0,7.2,0,0
7.8,14.7,7.5,6,1
7.3,28.3,6.8,4,0
7.2,8.1,6.7,5,0
8.3,22.9,8.2,8,0
8.1,42.4,7.9,5,0
8.3,29.2,8.0,3,1
7.4,20.6,7.3,3,0
7.4,4.9,7.3,8,1
7.6,9.8,7.0,8,1
7.3,13.0,7.0,2,0
7.2,5.6,7.2,4,0
8.2,25.7,7.8,1,0
7.6,41.7,7.5,7,0
7.2,12.6,6.8,1,0
8.0,46.6,7.9,2,0
7.6,30.6,7.5,1,0
7.3,1.8,6.7,6,0
7.9,15.6,7.8,1,0
6.9,10.3,6.7,8,0
6.6,5.1,6.2,0,0
7.5,7.0,7.4,4,0
7.8,19.8,7.5,4,0
7.2,27.1,6.9,3,0
6.5,5.8,6.9,0,0
7.2,5.8,7.0,0,0
7.8,18.1,7.5,2,1
7.2,25.9,6.9,4,0
7.9,24.9,7.5,3,0
6.8,1.1,6.5,7,0
7.0,3.5,6.2,3,0
8.8,127.9,8.5,2,1
7.9,91.7,7.8,3,0
7.5,15.8,7.2,2,0
7.9,25.4,7.4,0,1
5.8,9.8,5.6,2,1
7.7,18.5,7.4,4,1
7.5,39.7,7.4,8,0
8.3,19.9,8.0,2,1
7.8,54.3,7.7,3,0
7.2,24.3,6.9,6,1
7.8,7.9,7.2,8,0
6.9,9.2,6.6,3,0
7.9,165.4,7.9,1,1
7.3,6.7,6.6,4,0
7.7,7.5,7.2,3,0
8.1,69.7,7.7,2,0
7.8,768.0,7.0,1,0
7.8,12.5,7.3,2,0
6.6,5.9,6.0,8,0
6.1,1.6,6.2,4,0
8.5,148.8,8.2,1,0
8.6,117.2,8.2,1,0
6.4,8.4,6.0,8,0
7.6,11.0,7.4,4,1
5.7,2.9,6.3,8,0
7.4,13.2,7.2,3,0
7.7,50.9,7.8,4,0
7.1,15.7,6.8,5,0
6.7,2.9,5.9,6,0
8.0,19.0,7.7,4,0
7.2,19.5,7.1,5,0
7.6,9.2,7.0,0,1
7.2,24.2,7.0,2,0
7.5,26.9,7.3,2,0
7.7,18.8,7.3,7,0
7.8,768.0,7.0,8,0
6.9,16.6,6.8,5,0
7.3,9.8,6.6,3,0
6.9,12.0,6.5,4,0
7.1,27.9,7.0,8,0
7.8,14.0,7.4,0,0
7.7,9.7,7.1,5,1
5.9,8.7,5.9,8,0
6.2,12.1,6.2,0,0
7.1,13.3,7.1,3,1
7.3,6.4,6.8,3,0
7.1,5.4,6.8,0,0
8.0,43.9,7.8,7,0
7.8,20.0,7.5,5,1
7.7,24.4,7.7,2,0
7.1,11.9,6.0,0,0
7.2,11.4,6.9,6,0
6.7,3.8,5.8,8,0
7.5,15.7,7.2,8,0
7.9,165.4,7.9,0,1
6.3,3.3,6.0,2,0
7.7,8.6,7.3,4,0
7.2,11.3,7.0,3,0
7.1,20.9,6.9,2,1
7.4,2.2,6.6,0,1
7.1,4.4,6.6,1,0
7.4,10.0,7.1,6,1
7.4,12.4,6.9,3,0
7.0,7.7,6.8,0,0
9.0,108.1,8.6,5,0
6.6,10.2,6.4,3,0
7.4,5.3,7.0,2,0
8.1,16.7,7.9,4,0
7.7,7.7,6.8,8,1
7.7,19.2,7.5,1,0
5.7,2.9,6.3,1,0
8.1,22.9,7.9,6,1
7.2,13.6,7.0,3,0
7.7,20.2,7.5,1,1
8.1,19.3,7.8,2,1
7.7,13.9,7.4,7,0
8.2,70.7,8.1,3,0
6.9,7.3,6.6,6,0
7.5,19.0,7.4,4,0
8.0,18.3,7.7,1,0
6.6,20.6,6.4,0,0
7.1,13.2,6.7,1,0
7.6,8.9,7.0,5,0
7.7,15.5,7.3,1,1
7.2,17.1,7.0,7,1
8.0,74.1,7.5,5,0
7.4,12.6,7.1,8,0
8.1,46.9,8.0,1,0
7.7,8.6,7.2,1,1
7.5,30.4,7.2,1,0
7.6,8.8,7.1,2,0
5.4,1.3,4.5,4,0
5.9,1.6,4.7,0,0
7.8,77.5,7.7,0,0
7.4,30.2,7.4,3,0
6.3,7.1,6.2,0,0
7.7,34.2,7.4,2,0
7.5,23.1,7.3,1,0
7.4,18.4,7.4,2,0
7.7,35.3,7.4,7,0
7.1,13.0,7.1,8,0
7.9,12.2,7.6,4,1
7.1,8.3,6.6,4,0
6.9,24.7,6.8,8,0
8.4,25.3,8.3,5,0
6.4,2.1,6.4,4,0
6.4,2.3,5.9,2,0
7.8,19.2,7.5,5,0
8.0,61.7,7.7,8,1
6.9,4.9,6.3,0,0
7.3,7.3,6.6,3,0
8.1,18.0,7.8,3,1
7.9,11.9,7.5,2,0
7.2,5.3,7.1,6,0
6.5,5.7,6.1,2,0
7.2,11.8,6.8,4,0
7.4,20.6,7.3,2,0
6.8,19.2,6.8,6,0
7.2,17.1,6.8,4,0
7.7,20.0,7.5,4,0
6.8,11.1,6.5,8,0
8.1,46.9,8.0,0,0
7.8,18.5,7.6,2,1
7.2,7.3,6.9,0,0
6.0,4.9,6.1,0,0
8.0,63.5,7.7,4,0
6.5,10.2,5.9,6,0
7.2,19.8,6.9,3,1
7.8,18.5,7.6,0,0
7.9,24.9,7.9,5,1
7.2,7.2,6.9,4,0
7.6,13.5,7.0,5,0
7.5,3.8,7.2,1,0
8.1,29.0,8.0,4,0
7.6,9.8,7.2,4,0
7.8,17.7,7.6,1,0
7.4,4.0,6.8,3,0
8.0,32.7,7.7,5,0
7.1,8.9,6.6,8,0
7.0,14.0,6.7,3,0
7.5,11.6,7.3,8,1
7.7,5.8,7.2,3,0
7.0,23.9,6.8,4,1
8.1,77.9,7.6,2,0
7.3,8.7,6.9,4,0
6.8,12.0,6.4,1,0
8.2,29.8,7.9,2,0
7.9,25.4,7.4,2,0
7.0,6.8,6.6,6,0
8.0,29.2,7.8,2,1
7.0,8.1,6.4,0,0
6.6,4.0,6.3,0,0
8.1,63.9,8.3,1,0
8.0,74.1,7.5,0,1
8.2,47.7,7.9,1,1
7.6,9.8,7.0,5,0
8.9,120.3,8.5,1,0
6.8,109.2,7.0,7,0
7.8,71.2,7.8,5,1
7.3,7.9,6.9,6,1
7.6,18.5,7.5,2,0
7.4,2.2,6.6,2,0
7.6,10.4,7.1,3,0
7.3,2.6,6.6,0,0
7.8,63.2,7.4,2,0
7.7,35.7,7.5,5,0
8.1,10.9,7.9,6,0
8.2,33.4,7.9,3,0
7.4,21.6,7.2,4,0
7.7,12.9,7.1,4,0
7.7,10.4,7.3,8,0
6.9,30.4,6.2,7,0
7.3,8.9,7.2,2,0
7.9,7.1,7.6,1,0
7.9,19.6,7.4,5,1
6.2,4.8,5.5,8,0
5.7,1.4,5.9,2,0
7.8,33.5,7.5,4,1
6.9,14.3,6.5,1,0
7.9,14.6,7.7,0,0
8.0,81.4,8.0,2,0
7.9,40.3,8.0,7,1
7.9,9.3,7.3,1,0
8.1,24.0,7.9,1,0
7.8,42.4,7.9,8,0
7.6,5.6,6.8,2,0
6.6,4.1,5.6,5,0
8.1,30.9,7.9,8,1
8.1,38.4,7.7,6,0
9.0,112.6,8.6,4,0
7.2,2.4,6.8,8,0
7.6,18.5,7.5,6,1
7.0,9.4,6.7,4,0
6.8,11.1,6.5,0,0
7.5,6.3,7.0,2,0
7.8,11.9,7.5,0,0
7.5,11.2,7.1,6,0
8.0,95.6,7.9,1,1
7.1,10.2,7.0,2,0
7.8,67.3,8.1,2,0
8.5,148.8,8.2,3,0
7.4,25.8,7.4,4,1
8.0,13.7,7.5,0,0
7.1,47.0,7.0,7,0
7.3,10.2,6.8,8,0
7.3,48.1,7.5,2,0
5.6,3.2,5.5,0,0
7.7,11.4,7.2,1,0
7.9,17.3,7.7,1,0
7.1,3.8,6.3,6,0
7.8,14.0,7.4,2,0
