IMDb_Rating,Popularity,Vote_Count,Vote_Average,Category_Best Actor,Category_Best Actress,Category_Best Adapted Screenplay,Category_Best Cinematography,Category_Best Director,Category_Best Original Screenplay,Category_Best Picture,Category_Best Supporting Actor,Category_Best Supporting Actress,Winner
7.8,14.328,312.0,7.264,True,False,False,False,False,False,False,False,False,0.0
7.4,8.866,577.0,7.045,False,False,False,False,False,True,False,False,False,0.0
8.0,23.618,6580.0,8.065,False,False,False,False,False,False,False,False,True,0.0
7.8,23.577,1121.0,7.6,False,False,False,True,False,False,False,False,False,0.0
7.9,17.514,1613.0,7.742,False,False,False,False,False,False,False,True,False,1.0
7.0,5.122,44.0,6.9,False,False,False,False,False,False,False,False,True,0.0
8.2,17.733,1550.0,8.089,False,False,False,False,False,False,False,False,True,0.0
7.0,3.322,39.0,6.4,False,False,False,False,False,False,False,False,True,1.0
8.4,84.364,18955.0,8.095,False,False,False,False,False,True,False,False,False,
7.2,25.863,7290.0,6.852,False,False,False,False,False,False,False,True,False,0.0
7.3,14.438,300.0,7.0,False,False,False,False,False,False,True,False,False,0.0
8.1,19.668,9229.0,8.013,False,False,False,False,False,False,True,False,False,0.0
7.5,9.544,166.0,7.235,False,False,False,False,True,False,False,False,False,0.0
7.8,23.922,1630.0,7.489,False,False,False,False,True,False,False,False,False,0.0
6.4,7.401,90.0,6.3,False,False,False,True,False,False,False,False,False,0.0
7.7,20.528,1798.0,7.8,False,False,False,False,False,False,False,False,True,0.0
7.6,13.255,1181.0,7.28,False,False,True,False,False,False,False,False,False,0.0
8.0,10.269,597.0,7.786,False,False,False,False,True,False,False,False,False,0.0
8.2,32.04,3231.0,8.117,False,False,False,False,False,False,False,False,True,0.0
7.6,10.635,637.0,7.3,False,False,False,False,False,False,False,False,True,0.0
7.0,7.799,21.0,6.0,True,False,False,False,False,False,False,False,False,
7.3,6.178,111.0,7.0,False,False,False,False,False,False,True,False,False,1.0
7.3,17.407,2804.0,6.84,False,False,False,False,False,False,True,False,False,1.0
8.0,10.269,597.0,7.786,False,False,False,False,False,True,False,False,False,0.0
8.6,55.887,13162.0,8.448,True,False,False,False,False,False,False,False,False,1.0
7.4,14.344,321.0,7.6,False,False,False,False,False,False,False,True,False,
6.2,4.726,30.0,6.2,False,True,False,False,False,False,False,False,False,
7.2,5.323,54.0,6.7,False,False,False,False,True,False,False,False,False,0.0
7.3,8.883,396.0,7.2,False,False,False,False,False,False,False,False,True,0.0
6.3,1.489,22.0,6.5,True,False,False,False,False,False,False,False,False,1.0
6.6,15.895,331.0,6.69,False,False,False,False,False,False,False,False,True,
