Winner,Category,Genres,Director,Vote_Count,Popularity
False,3,213,306,52,5.159
False,2,88,424,5432,22.4
False,8,88,327,2566,24.992
False,2,88,327,2566,24.992
False,0,83,533,1703,16.82
False,3,83,533,1703,16.82
True,4,83,533,1703,16.82
False,6,83,533,1703,16.82
False,2,83,533,1703,16.82
True,1,102,231,166,9.544
False,4,102,231,166,9.544
False,6,102,231,166,9.544
True,3,77,268,73,5.501
False,6,77,268,73,5.501
False,7,149,602,5186,21.879
True,8,149,602,5186,21.879
False,4,149,602,5186,21.879
False,6,149,602,5186,21.879
False,5,149,602,5186,21.879
True,1,73,418,1337,14.381
False,8,73,418,1337,14.381
True,0,75,528,90,7.742
False,4,75,528,90,7.742
False,6,75,528,90,7.742
False,4,134,379,2012,29.339
False,5,134,379,2012,29.339
True,3,83,479,10234,85.728
True,4,83,479,10234,85.728
True,6,83,479,10234,85.728
False,5,83,479,10234,85.728
False,5,216,710,3338,24.381
False,2,178,88,147,8.555
False,1,102,74,4188,27.285
False,8,104,570,259,9.356
False,4,104,570,259,9.356
False,6,104,570,259,9.356
True,5,104,570,259,9.356
False,1,149,426,987,15.905
False,8,88,544,4382,30.587
False,5,88,544,4382,30.587
True,7,177,695,6848,21.181
False,6,177,695,6848,21.181
False,5,177,695,6848,21.181
False,1,102,669,5083,48.906
False,1,203,153,630,12.664
False,4,203,153,630,12.664
False,0,212,467,17,1.972
False,0,102,320,412,10.676
False,7,102,320,412,10.676
False,1,102,320,412,10.676
False,3,102,320,412,10.676
False,6,102,320,412,10.676
False,5,102,320,412,10.676
False,4,88,764,458,7.259
False,5,88,764,458,7.259
False,6,121,647,21,3.052
False,0,203,36,7032,50.911
False,7,203,36,7032,50.911
False,8,203,36,7032,50.911
False,3,203,36,7032,50.911
True,4,203,36,7032,50.911
False,6,203,36,7032,50.911
True,2,203,36,7032,50.911
False,7,213,164,197,15.792
False,3,213,164,197,15.792
False,8,55,182,71,9.266
False,1,203,361,3090,21.733
False,6,203,361,3090,21.733
False,2,203,361,3090,21.733
False,5,134,699,465,11.178
False,0,73,56,391,12.034
False,7,73,56,391,12.034
False,7,73,56,391,12.034
False,3,73,56,391,12.034
False,4,73,56,391,12.034
False,6,73,56,391,12.034
False,5,73,56,391,12.034
False,5,129,642,584,13.48
False,0,140,196,22,1.489
False,7,89,764,622,9.952
False,8,89,764,622,9.952
True,8,89,764,622,9.952
False,4,89,764,622,9.952
False,5,89,764,622,9.952
False,5,102,747,251,12.783
False,7,95,398,224,10.563
True,3,73,239,2218,22.907
False,4,73,239,2218,22.907
False,6,73,239,2218,22.907
True,1,210,139,90,7.401
False,3,210,139,90,7.401
True,8,102,510,77,5.627
