Category,Genres,Director,Vote_Count,Popularity,Winner
1,48,153,291,18.319,False
6,149,293,2,2.2,False
3,78,482,23,3.955,False
1,194,27,102,8.798,False
0,149,735,74,4.49,False
0,212,42,2201,21.558,False
7,53,612,322,12.785,False
8,73,723,8264,19.984,False
4,55,416,4272,43.628,True
0,106,101,3404,25.272,False
3,121,740,320,14.355,True
6,137,475,3431,57.295,False
2,12,545,6973,25.63,False
3,184,44,47,4.352,False
0,53,184,7674,36.37,False
7,172,550,2970,21.326,False
3,8,486,947,12.994,False
6,212,755,279,7.865,True
0,188,229,1163,10.847,False
3,76,695,16099,108.119,True
3,23,538,201,11.545,False
4,95,613,600,16.261,False
0,149,488,346,18.537,False
1,152,245,58,4.508,False
5,102,346,1417,23.946,False
3,64,223,489,14.608,False
6,203,550,3495,21.462,False
6,46,206,221,13.524,False
3,140,134,5004,25.665,False
7,71,2,9077,37.63,False
4,3,121,2076,29.493,False
6,102,394,157,6.812,False
0,214,675,1767,18.046,False
0,71,2,3355,13.559,False
1,212,153,157,8.751,False
7,113,278,20,4.111,False
0,71,443,2078,18.341,False
2,95,439,182,8.37,False
1,193,313,42,4.492,False
8,149,695,1798,20.528,False
4,203,282,61,6.527,False
3,71,642,60,3.447,False
4,242,629,49,3.909,False
2,88,424,5432,22.4,False
6,149,364,992,14.812,False
0,215,581,103,6.808,True
3,99,136,17022,95.59,True
4,102,665,913,768.016,False
1,136,762,142,6.224,False
8,2,138,6731,71.181,True
1,203,361,3090,21.733,False
3,56,398,70,6.402,False
3,3,765,1640,23.936,False
7,250,762,356,14.251,True
8,172,519,500,13.789,False
3,234,627,3314,38.44,False
5,88,544,4382,30.587,False
8,191,325,1504,19.598,True
6,95,261,8565,29.384,False
4,125,231,874,17.737,False
8,141,21,237,7.256,False
6,230,760,8031,69.708,False
2,218,3,1515,24.66,False
1,149,729,52,5.249,False
6,121,278,19,3.723,False
8,19,370,536,9.695,True
5,76,230,990,15.145,False
0,78,745,378,13.03,True
6,203,329,50,4.375,False
6,121,227,357,11.27,False
2,48,641,5445,35.272,False
0,142,186,1591,22.899,True
5,221,410,5649,28.98,True
2,76,641,1181,13.255,False
5,165,263,12193,37.113,False
0,203,193,664,9.803,False
4,91,610,2633,19.547,False
7,196,359,37,4.032,False
6,212,360,48,4.486,False
6,73,475,6878,41.875,False
0,76,641,1181,13.255,False
5,210,700,217,9.209,False
1,118,737,15,4.232,False
2,74,344,927,14.668,False
4,76,64,2304,19.442,False
3,213,99,37,5.666,False
3,149,19,3909,15.931,True
8,102,525,955,19.833,True
0,212,398,129,9.755,False
8,89,764,622,9.952,False
2,55,416,4272,43.628,True
4,76,692,11319,42.437,False
0,212,491,5511,31.099,False
6,212,762,657,12.042,True
2,37,486,521,11.856,True
3,226,617,1789,1515.687,False
