Popularity,Vote_Average,IMDb_Rating,Genres,Director
148.8,8.2,8.5,3,609
35.5,7.4,7.6,216,695
40.8,8.4,8.7,202,509
1.4,4.5,6.1,102,295
22.3,6.5,6.2,191,3
10.0,6.5,7.2,83,218
9.3,6.7,7.0,203,378
6.8,7.2,7.7,102,394
7.8,7.0,7.3,74,68
25.3,8.3,8.4,106,101
61.2,8.3,8.4,199,203
19.2,7.5,7.8,156,231
35.7,7.5,7.7,95,13
8.2,7.1,7.4,203,78
26.6,7.6,7.6,193,58
13.4,6.4,6.6,29,241
4.2,5.6,5.5,203,658
9.2,7.0,7.6,79,276
14.0,7.4,7.8,34,573
24.4,7.7,7.7,177,1
19.7,8.0,8.1,218,434
32.7,7.7,8.0,76,722
5.3,7.0,7.4,203,180
7.3,6.9,7.2,226,438
8.9,7.0,7.6,75,491
3.0,6.6,7.3,134,482
23.9,7.5,7.8,12,49
1.9,5.3,6.2,175,208
8.4,7.2,7.2,77,693
10.8,5.9,6.2,131,289
1.0,6.7,6.6,149,80
21.2,7.9,8.1,196,21
23.9,7.5,7.8,12,49
78.7,8.5,9.0,134,675
18.8,7.3,7.7,75,462
3.2,7.0,7.0,93,180
19.9,8.0,8.3,90,239
46.6,7.9,8.0,208,679
5.4,6.1,6.5,193,282
14.8,7.8,8.1,149,364
13.9,7.3,7.5,136,762
10.4,7.3,7.7,76,128
4.0,6.5,6.8,196,258
2.3,5.9,6.4,203,205
15.8,7.2,7.5,203,762
2.1,5.1,6.0,212,266
14.4,7.0,7.3,149,274
1.8,6.7,7.3,149,163
6.1,6.8,7.7,149,329
1.6,6.1,6.8,51,736
14.8,7.1,7.4,95,320
18.3,6.8,7.3,48,153
1.4,5.7,6.1,117,232
18.5,7.6,7.8,155,614
19.5,7.2,7.5,203,686
57.8,8.2,8.1,149,703
55.9,8.4,8.6,102,632
3.6,6.4,6.8,136,45
90.3,7.8,8.9,76,746
10.2,6.4,6.6,125,764
8.9,7.2,7.4,149,614
8.1,6.5,7.0,99,466
45.4,7.8,7.6,149,145
8.6,6.6,6.7,95,508
12.7,6.2,6.7,102,430
10.3,6.7,6.9,74,217
9.0,6.8,6.4,56,280
3.5,5.9,6.5,54,449
5.9,6.0,6.6,149,319
9.4,6.6,6.7,90,440
33.7,8.1,8.4,132,684
25.9,6.9,7.2,134,159
12.4,6.5,6.8,76,505
10.5,6.4,6.9,203,408
44.5,7.7,8.1,223,533
6.8,6.0,6.3,203,595
43.9,7.8,8.0,149,472
20.1,6.7,6.8,76,670
1.1,5.6,6.7,149,331
20.7,7.7,7.7,188,144
7.6,6.3,7.2,102,439
7.7,6.7,7.0,99,435
8.9,6.6,7.1,203,31
77.5,7.7,7.8,102,766
20.3,7.2,7.4,188,192
18.5,7.6,8.0,76,592
19.0,7.5,7.9,248,367
73.7,8.2,8.6,223,695
2.6,7.4,7.5,203,139
3.0,6.8,6.8,203,231
18.5,7.5,7.6,149,488
8.8,7.1,7.6,194,27
46.9,8.0,8.1,35,750
12.6,7.5,7.8,189,77
31.6,8.0,8.1,217,121
9.5,6.8,7.3,203,595
1.5,6.4,6.0,203,180
8.7,6.9,7.3,141,517
4.9,6.3,6.9,102,676
2.8,6.0,6.9,218,152
40.8,8.4,8.7,202,509
9.4,6.7,7.0,74,178
2.8,6.4,6.7,125,538
