Popularity,Vote_Average,IMDb_Rating,Genres,Director,Winner
6.7,6.7,7.6,171,623,False
6.7,6.7,7.6,171,623,False
50.0,8.0,7.9,77,91,True
50.0,8.0,7.9,77,91,False
19.2,6.8,6.8,74,328,False
19.2,6.8,6.8,74,328,False
23.9,7.5,7.8,12,49,False
23.9,7.5,7.8,12,49,False
23.9,7.5,7.8,12,49,False
23.9,7.5,7.8,12,49,False
23.9,7.5,7.8,12,49,True
23.9,7.5,7.8,12,49,True
23.9,7.5,7.8,12,49,False
23.9,7.5,7.8,12,49,False
23.9,7.5,7.8,12,49,False
24.7,7.6,7.9,149,550,False
24.7,7.6,7.9,149,550,False
24.7,7.6,7.9,149,550,False
5.2,6.9,7.0,213,306,False
22.4,6.8,7.4,88,424,False
25.0,6.4,6.6,88,327,False
25.0,6.4,6.6,88,327,False
16.8,7.0,7.2,83,533,False
16.8,7.0,7.2,83,533,False
16.8,7.0,7.2,83,533,True
16.8,7.0,7.2,83,533,False
16.8,7.0,7.2,83,533,False
9.5,7.2,7.5,102,231,True
9.5,7.2,7.5,102,231,False
9.5,7.2,7.5,102,231,False
5.5,6.8,7.3,77,268,True
5.5,6.8,7.3,77,268,False
21.9,7.5,7.9,149,602,False
21.9,7.5,7.9,149,602,True
21.9,7.5,7.9,149,602,False
21.9,7.5,7.9,149,602,False
21.9,7.5,7.9,149,602,False
14.4,7.4,7.5,73,418,True
14.4,7.4,7.5,73,418,False
7.7,6.7,7.2,75,528,True
7.7,6.7,7.2,75,528,False
7.7,6.7,7.2,75,528,False
29.3,7.6,7.8,134,379,False
29.3,7.6,7.8,134,379,False
85.7,7.9,8.3,83,479,True
85.7,7.9,8.3,83,479,True
85.7,7.9,8.3,83,479,True
85.7,7.9,8.3,83,479,False
24.4,7.7,7.8,216,710,False
8.6,7.1,7.8,178,88,False
27.3,7.7,7.6,102,74,False
9.4,7.1,7.7,104,570,False
9.4,7.1,7.7,104,570,False
9.4,7.1,7.7,104,570,False
9.4,7.1,7.7,104,570,True
15.9,7.5,7.8,149,426,False
30.6,6.5,6.8,88,544,False
30.6,6.5,6.8,88,544,False
21.2,7.2,7.6,177,695,True
21.2,7.2,7.6,177,695,False
21.2,7.2,7.6,177,695,False
48.9,6.7,6.8,102,669,False
12.7,7.7,8.0,203,153,False
12.7,7.7,8.0,203,153,False
2.0,6.9,7.3,212,467,False
10.7,6.7,7.3,102,320,False
10.7,6.7,7.3,102,320,False
10.7,6.7,7.3,102,320,False
