Year,Category,Film,Film_ID,Nominee,Winner,TMDb_ID,Popularity,Vote_Count,Vote_Average,Genres,Director,IMDb_Rating
1955,Best Supporting Actress,Pete Kelly's Blues,tt0048484,Peggy Lee,False,43321,2.596,25,6.1,,Jack Webb,6.5
1957,Best Supporting Actor,Peyton Place,tt0050839,Arthur Kennedy,False,43236,8.139,74,6.7,,Mark Robson,7.2
1957,Best Supporting Actor,Peyton Place,tt0050839,Russ Tamblyn,False,43236,8.139,74,6.7,,Mark Robson,7.2
1957,Best Actress,Peyton Place,tt0050839,Lana Turner,False,43236,8.139,74,6.7,,Mark Robson,7.2
1957,Best Supporting Actress,Peyton Place,tt0050839,Hope Lange,False,43236,8.139,74,6.7,,Mark Robson,7.2
1957,Best Supporting Actress,Peyton Place,tt0050839,Diane Varsi,False,43236,8.139,74,6.7,,Mark Robson,7.2
1957,Best Cinematography,Peyton Place,tt0050839,William Mellor,False,43236,8.139,74,6.7,,Mark Robson,7.2
1957,Best Director,Peyton Place,tt0050839,Mark Robson,False,43236,8.139,74,6.7,,Mark Robson,7.2
1957,Best Picture,Peyton Place,tt0050839,"Jerry Wald, Producer",False,43236,8.139,74,6.7,,Mark Robson,7.2
1943,Best Cinematography,Phantom of the Opera,tt0036261,"Hal Mohr, W. Howard Greene",True,15855,8.978,193,6.2,,Arthur Lubin,6.4
2017,Best Actor,Phantom Thread,tt5776858,Daniel Day-Lewis,False,400617,21.462,3495,7.3,,Paul Thomas Anderson,7.4
2017,Best Supporting Actress,Phantom Thread,tt5776858,Lesley Manville,False,400617,21.462,3495,7.3,,Paul Thomas Anderson,7.4
2017,Best Director,Phantom Thread,tt5776858,Paul Thomas Anderson,False,400617,21.462,3495,7.3,,Paul Thomas Anderson,7.4
2017,Best Picture,Phantom Thread,tt5776858,"JoAnne Sellar, Paul Thomas Anderson, Megan Ellison and Daniel Lupi, Producers",False,400617,21.462,3495,7.3,,Paul Thomas Anderson,7.4
1993,Best Actor,Philadelphia,tt0107818,Tom Hanks,True,9800,23.087,4270,7.7,,Jonathan Demme,7.7
1993,Best Original Screenplay,Philadelphia,tt0107818,Ron Nyswaner,False,9800,23.087,4270,7.7,,Jonathan Demme,7.7
2013,Best Actress,Philomena,tt2431286,Judi Dench,False,205220,13.413,1610,7.4,,Stephen Frears,7.6
2013,Best Picture,Philomena,tt2431286,"Gabrielle Tana, Steve Coogan and Tracey Seaward, Producers",False,205220,13.413,1610,7.4,,Stephen Frears,7.6
2013,Best Adapted Screenplay,Philomena,tt2431286,Screenplay by Steve Coogan and Jeff Pope,False,205220,13.413,1610,7.4,,Stephen Frears,7.6
1953,Best Supporting Actress,Pickup on South Street,tt0046187,Thelma Ritter,False,25955,9.065,289,7.4,,Samuel Fuller,7.6
2020,Best Actress,Pieces of a Woman,tt11161474,Vanessa Kirby,False,641662,18.29,1220,7.0,,Kornél Mundruczó,7.0
2003,Best Supporting Actress,Pieces of April,tt0311648,Patricia Clarkson,False,1550,7.319,240,6.5,,Peter Hedges,7.0
1936,Best Supporting Actor,Pigskin Parade,tt0028103,Stuart Erwin,False,83633,2.169,13,6.0,,David Butler,6.1
1959,Best Actress,Pillow Talk,tt0053172,Doris Day,False,4952,14.341,283,7.122,,Michael Gordon,7.4
1959,Best Supporting Actress,Pillow Talk,tt0053172,Thelma Ritter,False,4952,14.341,283,7.122,,Michael Gordon,7.4
1959,Best Original Screenplay,Pillow Talk,tt0053172,"Story by Russell Rouse, Clarence Greene; Screenplay by Stanley Shapiro, Maurice Richlin",True,4952,14.341,283,7.122,,Michael Gordon,7.4
1949,Best Actress,Pinky,tt0041746,Jeanne Crain,False,62727,5.277,44,7.1,,"Elia Kazan, John Ford",7.2
1949,Best Supporting Actress,Pinky,tt0041746,Ethel Barrymore,False,62727,5.277,44,7.1,,"Elia Kazan, John Ford",7.2
1949,Best Supporting Actress,Pinky,tt0041746,Ethel Waters,False,62727,5.277,44,7.1,,"Elia Kazan, John Ford",7.2
2003,Best Actor,Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980,Johnny Depp,False,22,147.701,20831,7.807,,Gore Verbinski,8.1
1984,Best Supporting Actor,Places in the Heart,tt0087921,John Malkovich,False,13681,8.851,163,7.227,,Robert Benton,7.4
1984,Best Actress,Places in the Heart,tt0087921,Sally Field,True,13681,8.851,163,7.227,,Robert Benton,7.4
1984,Best Supporting Actress,Places in the Heart,tt0087921,Lindsay Crouse,False,13681,8.851,163,7.227,,Robert Benton,7.4
1984,Best Director,Places in the Heart,tt0087921,Robert Benton,False,13681,8.851,163,7.227,,Robert Benton,7.4
1984,Best Picture,Places in the Heart,tt0087921,"Arlene Donovan, Producer",False,13681,8.851,163,7.227,,Robert Benton,7.4
1984,Best Original Screenplay,Places in the Heart,tt0087921,Robert Benton,True,13681,8.851,163,7.227,,Robert Benton,7.4
1986,Best Supporting Actor,Platoon,tt0091763,Tom Berenger,False,792,44.505,4587,7.742,,Oliver Stone,8.1
1986,Best Supporting Actor,Platoon,tt0091763,Willem Dafoe,False,792,44.505,4587,7.742,,Oliver Stone,8.1
1986,Best Cinematography,Platoon,tt0091763,Robert Richardson,False,792,44.505,4587,7.742,,Oliver Stone,8.1
1986,Best Director,Platoon,tt0091763,Oliver Stone,True,792,44.505,4587,7.742,,Oliver Stone,8.1
1986,Best Picture,Platoon,tt0091763,"Arnold Kopelson, Producer",True,792,44.505,4587,7.742,,Oliver Stone,8.1
1986,Best Original Screenplay,Platoon,tt0091763,Oliver Stone,False,792,44.505,4587,7.742,,Oliver Stone,8.1
1961,Best Supporting Actor,Pocketful of Miracles,tt0055312,Peter Falk,False,248,11.159,171,7.3,,Frank Capra,7.1
2000,Best Actor,Pollock,tt0183659,Ed Harris,False,12509,9.356,314,6.678,,Ed Harris,7.0
2000,Best Supporting Actress,Pollock,tt0183659,Marcia Gay Harden,True,12509,9.356,314,6.678,,Ed Harris,7.0
2023,Best Supporting Actor,Poor Things,tt14230458,Mark Ruffalo,False,792307,77.457,4420,7.72,,Yorgos Lanthimos,7.8
2023,Best Actress,Poor Things,tt14230458,Emma Stone,True,792307,77.457,4420,7.72,,Yorgos Lanthimos,7.8
2023,Best Cinematography,Poor Things,tt14230458,Robbie Ryan,False,792307,77.457,4420,7.72,,Yorgos Lanthimos,7.8
2023,Best Director,Poor Things,tt14230458,Yorgos Lanthimos,False,792307,77.457,4420,7.72,,Yorgos Lanthimos,7.8
2023,Best Picture,Poor Things,tt14230458,"Ed Guiney, Andrew Lowe, Yorgos Lanthimos and Emma Stone, Producers",False,792307,77.457,4420,7.72,,Yorgos Lanthimos,7.8
2023,Best Adapted Screenplay,Poor Things,tt14230458,Screenplay by Tony McNamara,False,792307,77.457,4420,7.72,,Yorgos Lanthimos,7.8
1959,Best Cinematography,Porgy and Bess,tt0053182,Leon Shamroy,False,1940,3.738,24,6.1,,Otto Preminger,7.2
1948,Best Cinematography,Portrait of Jennie,tt0040705,Joseph August,False,32558,7.408,106,7.1,,William Dieterle,7.6
